Année;Mois;Service;Gare de départ;Gare d'arrivée;Durée moyenne du trajet (min);Nombre de circulations prévues;Nombre de trains annulés;Nombre de trains en retard au départ;Retard moyen des trains en retard au départ (min);Retard moyen de tous les trains au départ (min);Nombre de trains en retard à l'arrivée;Retard moyen des trains en retard à l'arrivée (min);Retard moyen de tous les trains à l'arrivée (min);Période
2017;8.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;146.757201646;737.0;8.0;78.0;14.6638888889;1.6934156378599998;100.0;27.7058333333;4.49403292181;2017-08
2015;5.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;211.077044025;637.0;1.0;10.0;18.1;0.413522012579;34.0;43.6764705882;2.45125786164;2015-05
2015;1.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;208.685667752;615.0;1.0;19.0;17.6842105263;0.693811074919;58.0;37.6551724138;4.70521172638;2015-01
2015;2.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;210.177083333;577.0;1.0;22.0;19.7727272727;0.949652777778;44.0;30.7727272727;4.30729166667;2015-02
2016;6.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;209.196881092;513.0;94.0;51.0;18.9215686275;2.14035087719;111.0;30.5765765766;10.2495126706;2016-06
2016;12.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;206.15918958;697.0;6.0;56.0;26.499702381;2.12655571635;198.0;31.1888047138;12.0503135552;2016-12
2019;7.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;151.87001287;777.0;0.0;471.0;4.69571832979;2.63667953668;99.0;39.4794612795;4.9561990562;2019-07
2018;12.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;145.527080581;764.0;7.0;97.0;12.9807560137;1.34423161603;72.0;28.7516203704;2.28276089828;2018-12
2015;3.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;207.714728682;645.0;0.0;8.0;21.375;0.337984496124;27.0;32.7407407407;2.04031007752;2015-03
2015;11.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;207.557723577;617.0;2.0;23.0;12.1739130435;0.569105691057;56.0;33.2142857143;5.08943089431;2015-11
2017;12.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;144.677675033;782.0;25.0;118.0;16.8707627119;2.8273227653;143.0;26.613986014;5.74225011008;2017-12
2016;5.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;210.196819085;503.0;1.0;29.0;27.4482758621;1.7594433399599998;71.0;48.7605633803;10.7773359841;2016-05
2015;7.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;213.847328244;658.0;3.0;77.0;42.025974026;5.31145038168;88.0;80.4772727273;12.0748091603;2015-07
2019;6.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;151.697522816;774.0;7.0;501.0;7.85342648037;4.95458496306;94.0;45.7395390071;5.52618426771;2019-06
2017;10.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;146.531941032;818.0;4.0;92.0;14.9851449275;0.187551187551;147.0;25.235260771;5.12620802621;2017-10
2016;8.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;209.029096478;654.0;1.0;38.0;19.8947368421;1.32618683002;94.0;48.9468085106;8.71975497703;2016-08
2017;4.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;209.272;632.0;7.0;52.0;21.3461538462;1.8416000000000001;115.0;29.3913043478;8.3008;2017-04
2017;9.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;146.741645244;784.0;6.0;77.0;15.1510822511;1.55205655527;146.0;30.5910958904;6.5703299057399995;2017-09
2018;5.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;140.393258427;800.0;266.0;39.0;14.588034188;0.956585518102;55.0;26.0763636364;2.38024344569;2018-05
2018;2.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;144.061349693;698.0;46.0;189.0;15.5081128748;4.28108384458;157.0;41.8543524416;10.113599182;2018-02
2015;4.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;207.685126582;632.0;0.0;15.0;13.0666666667;0.458860759494;42.0;35.7619047619;3.12816455696;2015-04
2016;7.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;210.766766021;672.0;1.0;63.0;14.3174603175;1.65126676602;60.0;31.8833333333;4.52906110283;2016-07
2018;8.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;149.962406015;681.0;16.0;122.0;7.61543715847;1.11979949875;62.0;27.1411290323;2.45521303258;2018-08
2016;3.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;207.589285714;616.0;19.0;34.0;25.7941176471;1.5779220779199998;56.0;48.9285714286;6.8262987013;2016-03
2018;11.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;145.427977839;734.0;12.0;60.0;9.24555555556;0.363711911357;57.0;27.1900584795;2.01237303786;2018-11
2017;2.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;204.534090909;629.0;13.0;39.0;32.6692307692;1.99759199134;83.0;44.7624497992;8.20738636364;2017-02
2019;5.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;146.94836272;794.0;0.0;467.0;10.548786581;5.97485306465;32.0;26.0479166667;0.162132661629;2019-05
2018;3.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;144.019099591;760.0;27.0;123.0;7.62588075881;1.02003183265;80.0;23.0958333333;2.41550704866;2018-03
2016;11.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;211.29468599;622.0;1.0;54.0;22.7777777778;2.24154589372;105.0;39.7619047619;11.0289855072;2016-11
2018;4.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;142.122772277;756.0;251.0;91.0;9.06556776557;1.37174917492;57.0;24.514619883;2.37762376238;2018-04
2018;7.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;149.400332226;697.0;95.0;137.0;12.5049878345;2.63214285714;78.0;27.5115384615;4.09119601329;2018-07
2015;9.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;207.599681021;628.0;1.0;20.0;14.95;0.650717703349;53.0;38.5283018868;4.77192982456;2015-09
2017;7.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;147.941926346;729.0;23.0;123.0;23.7317073171;4.39093484419;179.0;31.7709497207;9.03966005666;2017-07
2016;10.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;211.296411856;641.0;0.0;45.0;25.7111111111;1.9890795631799998;110.0;35.4636363636;10.2527301092;2016-10
2017;5.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;208.8848;629.0;4.0;59.0;15.3389830508;1.4272;135.0;28.1925925926;8.7392;2017-05
2015;10.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;207.472392638;653.0;1.0;13.0;13.0769230769;0.44018404908;37.0;31.1891891892;3.22392638037;2015-10
2016;9.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;209.155802862;629.0;0.0;38.0;32.0263157895;2.10333863275;105.0;38.7714285714;9.63434022258;2016-09
2019;4.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;146.183006536;769.0;4.0;341.0;7.6850439882699995;3.31699346405;57.0;29.8257309942;1.39535947712;2019-04
2019;3.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;146.619824341;816.0;19.0;95.0;19.9231578947;2.00648264325;64.0;50.6140625;3.42063989962;2019-03
2018;9.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;149.244039271;714.0;1.0;96.0;7.14930555556;0.699158485273;52.0;23.0509615385;1.6306685367;2018-09
2018;10.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;149.694915254;708.0;0.0;81.0;7.50514403292;0.563512241055;49.0;21.2445578231;1.24799905838;2018-10
2019;1.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;146.411392405;819.0;29.0;106.0;16.1463836478;1.83983122363;65.0;42.1143589744;2.95061181435;2019-01
2016;2.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;207.620462046;606.0;2.0;15.0;14.5333333333;0.506600660066;40.0;30.375;4.83498349835;2016-02
2017;3.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;204.296137339;701.0;2.0;30.0;36.2;1.45922746781;98.0;41.5816326531;7.42775393419;2017-03
2015;6.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;215.078651685;625.0;2.0;45.0;36.6666666667;2.8908507223099997;78.0;53.1923076923;7.72712680578;2015-06
2016;4.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;208.037931034;580.0;13.0;21.0;24.1904761905;1.03448275862;45.0;43.1333333333;6.04655172414;2016-04
2016;1.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;207.832155477;566.0;1.0;23.0;15.9565217391;0.782685512367;45.0;42.4;5.6148409894;2016-01
2015;12.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;207.510015408;650.0;1.0;24.0;11.875;0.560862865948;33.0;31.0606060606;3.2126348228;2015-12
2015;8.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;213.514503817;655.0;0.0;47.0;26.6382978723;2.12061068702;64.0;52.21875;5.96030534351;2015-08
2019;2.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;146.289222374;741.0;8.0;66.0;11.3123737374;0.676034561164;54.0;23.6219135802;1.16800818554;2019-02
2018;1.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;143.40625;775.0;7.0;148.0;9.37781531532;1.5825303819399998;79.0;25.4791139241;2.54696180556;2018-01
2018;6.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;141.928902628;804.0;157.0;56.0;16.3098214286;1.36555899021;75.0;24.2031111111;2.9105615662;2018-06
2017;6.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;207.434375;648.0;8.0;102.0;23.6862745098;3.6140625;161.0;36.2236024845;12.1234375;2017-06
2017;11.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;147.513994911;794.0;8.0;62.0;15.8319892473;1.31060220526;118.0;27.8607344633;4.77996183206;2017-11
2017;1.0;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;204.617737003;667.0;13.0;66.0;18.2858585859;1.78970438328;124.0;25.697983871;7.77864424057;2017-01
2019;8.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;151.632513661;737.0;5.0;420.0;5.67369047619;2.92087887067;46.0;30.6507246377;1.47349726776;2019-08
2019;9.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;151.253117207;806.0;4.0;562.0;5.48917556346;3.69289276808;61.0;27.256284153;1.33453865337;2019-09
2019;10.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;149.722745626;784.0;41.0;591.0;5.79543147208;4.48497083894;85.0;28.5984313725;2.27063705698;2019-10
2019;11.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;145.712270804;738.0;29.0;548.0;6.52852798054;4.91927597555;86.0;34.3798449612;4.21372825576;2019-11
2020;4.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;153.891891892;92.0;55.0;35.0;7.18523809524;6.76576576577;20.0;22.6766666667;15.25;2020-04
2019;12.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;146.394648829;366.0;67.0;232.0;7.81034482759;5.9102006689;82.0;24.7705284553;7.56956521739;2019-12
2020;3.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;146.943946188;501.0;55.0;348.0;2.98936781609;2.20459641256;77.0;24.0032467532;5.4014573991;2020-03
2020;1.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;147.51584507;616.0;48.0;435.0;3.4946743295;2.56003521127;146.0;24.8706621005;8.83321596244;2020-01
2020;2.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;147.564788732;716.0;6.0;562.0;2.62841043891;1.97307511737;56.0;21.6172619048;2.22666666667;2020-02
2020;5.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;145.522222222;325.0;55.0;220.0;2.13121212121;1.6487037037;36.0;26.2458333333;4.36333333333;2020-05
2020;6.0;;PARIS MONTPARNASSE;BORDEAUX ST JEAN;149.201039861;610.0;33.0;482.0;2.59882434302;2.09612940497;43.0;28.6081395349;1.69948006932;2020-06
